id;name;latitude;longitude;etat;etoile_id
1;input cutting-e;32872;63644;Granite Investment Account Cambridgeshire;1
2;Alaska;41215;62899;hacking Cape Verde;2
3;Chair Investor ;29826;83430;Mississippi vortals Minnesota;3
4;deposit virtual;84616;91064;Soft;4
5;core Credit Car;21877;84912;Croatia;5
6;synthesize;61141;21743;Right-sized Human;6
7;Administrator;62435;66279;secondary revolutionize;7
8;Auto Loan Accou;9923;6653;dedicated;8
9;Practical Woode;77067;22859;open-source bypass;9
10;Incredible;94919;24643;withdrawal copy Generic;10
